MeSH Disease Term	MeSH Disease Term.1	symptom similarity score	similarity_score	shared_genes	sim_norm	gene_norm	repurposing_score
Proteinuria	Nephrotic Syndrome	0.993700337164805	0.993700337164805	2	0.9921980114604373	0.08	0.8097584091683498
Idiopathic Pulmonary Fibrosis	Pulmonary Fibrosis	0.9988850488683793	0.9988850488683793	1	0.9996137453675983	0.04	0.8076909962940787
Pseudohypoparathyroidism	Pseudopseudohypoparathyroidism	0.994824191284266	0.994824191284266	1	0.9938054688422323	0.04	0.8030443750737859
Dystonia	Dystonic Disorders	0.999155098864542	0.999155098864542	0	1.0	0.0	0.8
Proteinuria	Glomerulosclerosis, Focal Segmental	0.99846827424242	0.99846827424242	0	0.9990176293437817	0.0	0.7992141034750254
Nephrocalcinosis	Nephrolithiasis	0.9557939317550682	0.9557939317550682	6	0.9379801818168356	0.24	0.7983841454534686
Glomerulosclerosis, Focal Segmental	Lecithin Acyltransferase Deficiency	0.9951648315609888	0.9951648315609888	0	0.9942926893078363	0.0	0.795434151446269
Coronary Artery Disease	Coronary Disease	0.9951636066466584	0.9951636066466584	0	0.9942909373032404	0.0	0.7954327498425924
Proteinuria	Lecithin Acyltransferase Deficiency	0.9950191457016668	0.9950191457016668	0	0.994084313677997	0.0	0.7952674509423976
Glomerulosclerosis, Focal Segmental	Nephrotic Syndrome	0.9939393669749014	0.9939393669749014	0	0.9925398976768555	0.0	0.7940319181414844
Microcephaly	Chromosome Aberrations	0.9934754873982964	0.9934754873982964	0	0.9918764070718334	0.0	0.7935011256574668
Lupus Nephritis	Nephrotic Syndrome	0.9933184731769286	0.9933184731769286	0	0.9916518283967065	0.0	0.7933214627173653
Glomerulonephritis	Glomerulonephritis, Membranoproliferative	0.9929724538765288	0.9929724538765288	0	0.9911569142712523	0.0	0.7929255314170018
Nephrotic Syndrome	Lecithin Acyltransferase Deficiency	0.9924347436324936	0.9924347436324936	0	0.9903878230822146	0.0	0.7923102584657717
Diabetes Insipidus	Diabetes Insipidus, Neurogenic	0.9921932169575765	0.9921932169575765	0	0.9900423655804151	0.0	0.7920338924643322
Glomerulonephritis	Nephrotic Syndrome	0.9850501375142456	0.9850501375142456	1	0.9798255629001551	0.04	0.7918604503201241
Insulin Resistance	Metabolic Syndrome X	0.990537487792706	0.990537487792706	0	0.987674163140048	0.0	0.7901393305120384
Insulin Resistance	Hyperinsulinism	0.9904617776004676	0.9904617776004676	0	0.9875658742569239	0.0	0.7900526994055391
Syncope	Long QT Syndrome	0.990176564421482	0.990176564421482	0	0.9871579316049315	0.0	0.7897263452839453
Cholelithiasis	Gallstones	0.9890202774079856	0.9890202774079856	0	0.9855040851998393	0.0	0.7884032681598715
Proteinuria	Nephrosis	0.9887616266066438	0.9887616266066438	0	0.9851341349254003	0.0	0.7881073079403202
Metabolic Syndrome X	Obesity	0.988339130131947	0.988339130131947	0	0.9845298348963542	0.0	0.7876238679170834
Insulin Resistance	Obesity	0.9883096947800896	0.9883096947800896	0	0.9844877332811983	0.0	0.7875901866249587
Obesity	Hypoalphalipoproteinemias	0.9881073252859508	0.9881073252859508	0	0.9841982826028848	0.0	0.7873586260823079
Glomerulosclerosis, Focal Segmental	Nephrosis	0.987949206528128	0.987949206528128	0	0.9839721241005834	0.0	0.7871776992804668
Obesity	Hyperlipidemia, Familial Combined	0.9874969866405624	0.9874969866405624	0	0.9833253104404523	0.0	0.7866602483523619
Abnormalities, Multiple	Chromosome Aberrations	0.9870454743714466	0.9870454743714466	0	0.9826795088925528	0.0	0.7861436071140423
Hypergammaglobulinemia	Job's Syndrome	0.9864919414520056	0.9864919414520056	0	0.9818877864064985	0.0	0.7855102291251989
Nephrotic Syndrome	Nephrosis	0.9858838398306924	0.9858838398306924	0	0.9810180138771865	0.0	0.7848144111017492
Mental Retardation	Chromosome Aberrations	0.9857217057774648	0.9857217057774648	0	0.9807861122663029	0.0	0.7846288898130424
Syncope	Sick Sinus Syndrome	0.9856872124706146	0.9856872124706146	0	0.9807367762183599	0.0	0.784589420974688
Glomerulonephritis, Membranoproliferative	Nephrotic Syndrome	0.9856570097062866	0.9856570097062866	0	0.9806935769671145	0.0	0.7845548615736916
Hyperbilirubinemia, Hereditary	Gilbert Disease	0.9855071734567	0.9855071734567	0	0.980479265001453	0.0	0.7843834120011625
Primary Ovarian Insufficiency	Gonadal Dysgenesis	0.9852348779919292	0.9852348779919292	0	0.9800897986576493	0.0	0.7840718389261195
Glomerulonephritis	Lupus Nephritis	0.9837081657005649	0.9837081657005649	0	0.9779061300656724	0.0	0.782324904052538
Hyperlipidemia, Familial Combined	Hypoalphalipoproteinemias	0.9834025559736196	0.9834025559736196	0	0.9774690140707939	0.0	0.7819752112566352
Metabolic Syndrome X	Diabetes Mellitus	0.9833751953738236	0.9833751953738236	0	0.9774298799898212	0.0	0.781943903991857
Microcephaly	Mental Retardation	0.9830957998016012	0.9830957998016012	0	0.977030258306515	0.0	0.781624206645212
Diabetes Insipidus	Diabetes Insipidus, Nephrogenic	0.9828531503192048	0.9828531503192048	0	0.9766831948443515	0.0	0.7813465558754813
Glomerulonephritis, Membranoproliferative	Lecithin Acyltransferase Deficiency	0.9822685401063538	0.9822685401063538	0	0.9758470222612312	0.0	0.780677617808985
Insulin Resistance	Hyperlipidemia, Familial Combined	0.9821302922284028	0.9821302922284028	0	0.9756492852346174	0.0	0.7805194281876939
Metabolic Syndrome X	Hyperinsulinism	0.9818488931626692	0.9818488931626692	0	0.9752467979387924	0.0	0.780197438351034
Proteinuria	Glomerulonephritis, Membranoproliferative	0.9813004298942316	0.9813004298942316	0	0.9744623266144213	0.0	0.7795698612915372
Mental Retardation	Chromosome Breakage	0.9807338441283135	0.9807338441283135	0	0.9736519345394412	0.0	0.778921547631553
Dementia	Alzheimer Disease	0.9733119103849156	0.9733119103849156	1	0.9630362843616935	0.04	0.7784290274893548
Glomerulonephritis	Glomerulosclerosis, Focal Segmental	0.9802960844211652	0.9802960844211652	0	0.973025803389034	0.0	0.7784206427112272
Hyperalgesia	Sciatic Neuropathy	0.9802213086628032	0.9802213086628032	0	0.9729188510340291	0.0	0.7783350808272234
Sick Sinus Syndrome	Long QT Syndrome	0.9801207599407664	0.9801207599407664	0	0.9727750354064763	0.0	0.778220028325181
Insulin Resistance	Hypoalphalipoproteinemias	0.9798846217168824	0.9798846217168824	0	0.9724372850485486	0.0	0.7779498280388389
Dermatitis, Atopic	Pruritus	0.9797730529157708	0.9797730529157708	0	0.9722777073152652	0.0	0.7778221658522122
Glomerulonephritis	Proteinuria	0.9797044872794866	0.9797044872794866	0	0.9721796373466866	0.0	0.7777437098773493
Tachycardia, Ventricular	Arrhythmogenic Right Ventricular Dysplasia	0.9794506446379556	0.9794506446379556	0	0.9718165642210224	0.0	0.777453251376818
Obesity	Hyperinsulinism	0.9794431248619562	0.9794431248619562	0	0.9718058086262966	0.0	0.7774446469010373
Microcephaly	Abnormalities, Multiple	0.978852628735632	0.978852628735632	0	0.9709612173748658	0.0	0.7767689738998927
