MeSH Disease Term	MeSH Disease Term.1	similarity_score	shared_genes	shared_symptoms	repurposing_score
Idiopathic Pulmonary Fibrosis	Pulmonary Fibrosis	0.9988850488683793	1	10	0.8077682472205592
Pseudohypoparathyroidism	Pseudopseudohypoparathyroidism	0.994824191284266	1	10	0.8042832813053395
Coronary Artery Disease	Coronary Disease	0.9951636066466584	0	9	0.7765745623819443
Insulin Resistance	Metabolic Syndrome X	0.990537487792706	0	9	0.772604497884029
Cholelithiasis	Gallstones	0.9890202774079856	0	9	0.7713024511199037
Primary Ovarian Insufficiency	Gonadal Dysgenesis	0.9852348779919292	0	9	0.7680538791945898
Cleft Palate	Cleft Lip	0.9707554158684638	1	9	0.7636278260947718
Rhinitis, Allergic, Seasonal	Rhinitis, Allergic, Perennial	0.9763129958956274	0	9	0.7603972563356994
Glomerulonephritis	Nephrotic Syndrome	0.9850501375142456	1	8	0.7558953377400932
Insulin Resistance	Hyperinsulinism	0.9904617776004676	0	8	0.7525395245541544
Metabolic Syndrome X	Obesity	0.988339130131947	0	8	0.7507179009378127
Insulin Resistance	Obesity	0.9883096947800896	0	8	0.7506926399687192
Nephrotic Syndrome	Nephrosis	0.9858838398306924	0	8	0.748610808326312
Metabolic Syndrome X	Glucose Intolerance	0.9567797356403448	0	9	0.7436341109180701
Proteinuria	Glomerulosclerosis, Focal Segmental	0.99846827424242	0	7	0.7394105776062692
Insulin Resistance	Glucose Intolerance	0.9499207124829762	0	9	0.737747802073198
Microcephaly	Chromosome Aberrations	0.9934754873982964	0	7	0.7351258442431001
Mental Retardation	Abnormalities, Multiple	0.9697652593932936	0	8	0.7347780889406785
Hyperinsulinism	Glucose Intolerance	0.9687317426185752	0	8	0.7338911406402033
Myocardial Ischemia	Coronary Artery Disease	0.9435872771131114	0	9	0.7323125446348251
Proteinuria	Nephrotic Syndrome	0.993700337164805	2	6	0.7313188068762625
Proteinuria	Nephrosis	0.9887616266066438	0	7	0.7310804809552403
Fatty Liver	Obesity	0.9624189791733968	0	8	0.7284736235316601
Glomerulonephritis	Lupus Nephritis	0.9837081657005649	0	7	0.7267436780394035
Metabolic Syndrome X	Diabetes Mellitus	0.9833751953738236	0	7	0.7264579279938929
Dementia	Alzheimer Disease	0.9733119103849156	1	7	0.7258217706170162
Metabolic Syndrome X	Hyperinsulinism	0.9818488931626692	0	7	0.7251480787632756
Obesity	Hyperinsulinism	0.9794431248619562	0	7	0.723083485175778
Metabolic Syndrome X	Dyslipidemias	0.9548954273869456	0	8	0.7220170263735262
Hirschsprung Disease	Megacolon	0.9776367934718502	0	7	0.7215333191835656
Metabolic Syndrome X	Hypertriglyceridemia	0.9773593426605904	0	7	0.7212952151377175
Myocardial Ischemia	Coronary Restenosis	0.9759342372733464	0	7	0.7200722114747545
Dystonia	Dystonic Disorders	0.999155098864542	0	6	0.7200000000000001
Heart Defects, Congenital	Tetralogy of Fallot	0.9742674865402244	0	7	0.7186418314691072
Angina Pectoris	Coronary Disease	0.97408753766123	0	7	0.718487402091374
Hyperlipidemias	Hypercholesterolemia	0.9269762709339356	0	9	0.7180572330035085
Carcinoma, Hepatocellular	Liver Neoplasms	0.9262368981059478	0	9	0.7174227145426156
Glomerulonephritis	Nephrosis	0.9724289722356696	0	7	0.7170640465915771
Tetralogy of Fallot	Transposition of Great Vessels	0.9723597375803668	0	7	0.7170046304685329
Glomerulosclerosis, Focal Segmental	Nephrotic Syndrome	0.9939393669749014	0	6	0.7155239386061134
Lupus Nephritis	Nephrotic Syndrome	0.9933184731769286	0	6	0.714991097038024
Craniofacial Abnormalities	Abnormalities, Multiple	0.9697328249924316	0	7	0.7147502542335648
Hypertriglyceridemia	Diabetes Mellitus	0.9696818592702258	0	7	0.7147065162296942
Glomerulonephritis	Glomerulonephritis, Membranoproliferative	0.9929724538765288	0	6	0.7146941485627515
Myocardial Ischemia	Myocardial Infarction	0.946315764822516	0	8	0.7146540910866312
Insulin Resistance	Diabetes Mellitus	0.9694898187787356	0	7	0.7145417100149174
Insulin Resistance	Hypertriglyceridemia	0.9686702981014038	0	7	0.7138384098946442
Chromosome Disorders	Chromosome Aberrations	0.9668035862456538	0	7	0.7122364263096311
Glomerulosclerosis, Focal Segmental	Nephrosis	0.987949206528128	0	6	0.7103832744603501
Abnormalities, Multiple	Chromosome Aberrations	0.9870454743714466	0	6	0.7096077053355317
Abnormalities, Multiple	Chromosome Disorders	0.9636844381944216	0	7	0.7095596211230633
Fatty Liver	Metabolic Syndrome X	0.9630125538965776	0	7	0.7089830202872895
Cholangiocarcinoma	Bile Duct Neoplasms	0.9629632741036088	0	7	0.7089407291221237
Obesity	Glucose Intolerance	0.9392919055854394	0	8	0.7086263224373996
Mental Retardation	Chromosome Aberrations	0.9857217057774648	0	6	0.7084716673597818
Fatty Liver	Insulin Resistance	0.9621561174153116	0	7	0.7082480395882769
Liver Diseases	Hepatitis	0.9619753665868308	0	7	0.708092921989751
Glaucoma	Retinal Diseases	0.9602214076989886	0	7	0.7065877012785545
Glomerulonephritis	Immune Complex Diseases	0.9599731730056248	0	7	0.7063746700585649
Microcephaly	Mental Retardation	0.9830957998016012	0	6	0.706218154983909
Epilepsy	Epilepsy, Generalized	0.9582594467385964	0	7	0.704903976367662
Microcephaly	Abnormalities, Multiple	0.978852628735632	0	6	0.7025767304249196
Bundle-Branch Block	Tachycardia, Ventricular	0.9310139421278144	0	8	0.7015223007129944
Bundle-Branch Block	Heart Block	0.9294645079009528	0	8	0.7001925999400316
Frontotemporal Dementia	Pick Disease of the Brain	0.9751303842694478	0	6	0.6993823571123674
Diabetes Mellitus, Type 1	Albuminuria	0.9749552488681807	0	6	0.6992320585876538
Diabetes Mellitus	Glucose Intolerance	0.9490453035990798	0	7	0.6969965395482096
Tachycardia, Ventricular	Death, Sudden, Cardiac	0.9490272546500031	0	7	0.6969810502159602
Bacterial Infections	Communicable Diseases	0.9483357370081608	0	7	0.6963876003444303
Cardiomyopathy, Dilated	Ventricular Dysfunction, Left	0.9482916225360508	0	7	0.6963497419786819
Metabolism, Inborn Errors	Amino Acid Metabolism, Inborn Errors	0.9475543676221624	0	7	0.6957170410793002
Hypertriglyceridemia	Obesity	0.9703290787606432	0	6	0.6952619501046949
Heart Defects, Congenital	Transposition of Great Vessels	0.9699497410434946	0	6	0.6949364082733852
Hyperinsulinism	Diabetes Mellitus	0.9698443677733616	0	6	0.6948459785434126
