Source	Target	weight	alpha
D011658	D054990	0.99884397593565	0.0002121186569018
D011556	D011547	0.9946853265535076	0.0016726896344325
D009404	D009401	0.9881004677093403	1.7213201246991517e-06
D009404	D005921	0.98728183475776	1.7410078923274066e-06
D006946	D007333	0.9872231529841208	0.0158914300999935
D018268	D012734	0.984536313122036	1.717391808639325e-10
D006106	D013798	0.9830564639270178	0.0011323047574493
D018500	D003919	0.980996123894604	2.4520156574502365e-06
D002972	D002971	0.980604867254991	1.902329783541489e-05
D012804	D008133	0.9799724084250532	9.520407618003702e-06
D006627	D008531	0.9771780597079454	0.0080634662397687
D003704	D000544	0.9759742981417878	0.0006353087303354
D003920	D006946	0.972066219534384	0.0001481385021071
D008831	D009083	0.971575203837766	0.0105093821246764
D000306	D012707	0.9689463740741292	0.0043152223725269
D005901	D012173	0.9643631837472234	8.677370901619924e-05
D006106	D018312	0.9638522049278349	0.0013074947859812
D003920	D007333	0.9636550568671914	0.0001601580103997
D019571	D008133	0.9615160691888592	5.710007974263968e-06
D010051	D006106	0.9589024557789378	1.3257813592123607e-05
