Source,Target,Weight,Alpha
Aneurysm,Behcet Syndrome,0.687008870979508,0.034682680574553704
Aneurysm,Hemangiosarcoma,0.7476622159800916,0.025720349119288066
Behcet Syndrome,Bronchiectasis,0.6129717170591888,0.04444454325006835
Behcet Syndrome,Hemangiosarcoma,0.7186557307446133,0.02592826557175755
Behcet Syndrome,Histiocytoma,0.6299648007007088,0.040757186698733544
Hemangiosarcoma,Hemorrhage,0.6844339637220191,0.04403941889364855
Hemangiosarcoma,Lung Diseases,0.7372394699864572,0.0258421062224049
Hemangiosarcoma,Bronchiectasis,0.7118000376535975,0.02933158259517398
Hemangiosarcoma,"Aortic Aneurysm, Thoracic",0.7023790459894592,0.030739896973884125
Hemangiosarcoma,Pulmonary Veno-Occlusive Disease,0.7301703862102608,0.026767941074202113
Hemangiosarcoma,Lung Neoplasms,0.707392920671313,0.029982190627677856
"Corneal Dystrophies, Hereditary",Keratoconus,0.8235958790387771,0.02690534407683366
"Corneal Dystrophies, Hereditary",Uveitis,0.6938156095992366,0.04772406419933982
Uveitis,Glaucoma,0.7326246440693054,0.0363503618663155
Uveitis,Retinal Vein Occlusion,0.7770696573098782,0.02969788402829709
Uveitis,"Optic Atrophy, Hereditary, Leber",0.7001548653428853,0.042131463671725516
Uveitis,"Optic Atrophies, Hereditary",0.6717590255202,0.04793350187219663
Uveitis,"Glaucoma, Open-Angle",0.665313052622057,0.04935780232505002
Uveitis,Choroidal Neovascularization,0.7901033050275337,0.027988061862846483
Uveitis,Optic Nerve Diseases,0.742709732932113,0.034721166660578076
Thyroid Neoplasms,"Carcinoma, Medullary",0.6615794049080436,0.037137578415631756
Thyroid Neoplasms,Celiac Disease,0.6276676751096049,0.043990836359614566
Thyroid Neoplasms,Thyroid Diseases,0.6527121536387627,0.038819292103790766
Thyroid Neoplasms,AIDS-Related Opportunistic Infections,0.6223806288263792,0.045167553108713954
Thyroid Neoplasms,Entamoebiasis,0.6099766622775923,0.048053015701736784
Thyroid Neoplasms,Colitis,0.6335841433857612,0.04271026814019346
Thyroid Neoplasms,"Adenocarcinoma, Follicular",0.508778870998116,0.04828662952920735
"Carcinoma, Medullary",Celiac Disease,0.7785297289576024,0.041028344818344165
"Carcinoma, Medullary",AIDS-Related Opportunistic Infections,0.7745704087205174,0.0323828943038613
"Carcinoma, Medullary",Entamoebiasis,0.7351554970450429,0.03861119862737501
"Carcinoma, Medullary",Rectal Neoplasms,0.7004717145562587,0.04506998846314644
"Carcinoma, Medullary",Inflammatory Bowel Diseases,0.7432502354887264,0.037241619653691965
"Carcinoma, Medullary",Crohn Disease,0.6888125169974111,0.0474741671461554
Celiac Disease,Inflammatory Bowel Diseases,0.8954768771132995,0.02708692939765745
Celiac Disease,Exocrine Pancreatic Insufficiency,0.8561537115777927,0.02979310737810334
Celiac Disease,HIV Infections,0.7322753411482723,0.049640102620380246
Celiac Disease,Gram-Negative Bacterial Infections,0.8768979976247112,0.027349959406608945
Celiac Disease,Acquired Immunodeficiency Syndrome,0.753076933715257,0.045564257029055116
Celiac Disease,AIDS-Related Opportunistic Infections,0.8550232847969659,0.02993232637595503
Celiac Disease,Entamoebiasis,0.8953134340124604,0.025349053025475334
Celiac Disease,Intestinal Diseases,0.8387189357368527,0.03201398269946952
Celiac Disease,Colitis,0.9184469917550644,0.023041107610932282
Celiac Disease,Rectal Neoplasms,0.7876606573666547,0.03951332843759085
Celiac Disease,Crohn Disease,0.8358754466968809,0.03239153330581481
Celiac Disease,Vipoma,0.9051555927104332,0.024340228539821977
Celiac Disease,Agammaglobulinemia,0.7611627176237029,0.0440715792312685
Celiac Disease,Colonic Polyps,0.7361534692324244,0.0488535846710822
Celiac Disease,Gastrinoma,0.8418288873935936,0.03160607468271327
Celiac Disease,Colorectal Neoplasms,0.7841800270564333,0.040084145455441124
Celiac Disease,Malabsorption Syndromes,0.9068823044698954,0.02416741430440323
Celiac Disease,Lactose Intolerance,0.6695778680139464,0.04491065256448549
Celiac Disease,"Colitis, Ulcerative",0.7028181853165195,0.04602785883127679
AIDS-Related Opportunistic Infections,HIV Seropositivity,0.7060228477256324,0.047289316135343366
AIDS-Related Opportunistic Infections,Inflammatory Bowel Diseases,0.8389055564663176,0.03405718519386092
AIDS-Related Opportunistic Infections,Agammaglobulinemia,0.7633880553718785,0.0447086563228436
AIDS-Related Opportunistic Infections,"Colitis, Ulcerative",0.6955230217317183,0.047528051237117744
AIDS-Related Opportunistic Infections,Gram-Negative Bacterial Infections,0.91895278163381,0.04290032349095874
AIDS-Related Opportunistic Infections,Entamoebiasis,0.883204005918632,0.04175699028194074
AIDS-Related Opportunistic Infections,Rectal Neoplasms,0.8054362500529392,0.044055341030833195
AIDS-Related Opportunistic Infections,Crohn Disease,0.811493432128434,0.04006639465964975
AIDS-Related Opportunistic Infections,HIV Infections,0.775433729079811,0.04129715520475386
AIDS-Related Opportunistic Infections,Acquired Immunodeficiency Syndrome,0.8314051554289194,0.030639384268891175
AIDS-Related Opportunistic Infections,Malabsorption Syndromes,0.7798007091293772,0.04166450497085292
Entamoebiasis,Inflammatory Bowel Diseases,0.840407498194794,0.033850820355151794
Entamoebiasis,Vipoma,0.919647353203185,0.03624797543832403
