disease	disease_diversity	disease_diversity_shannon	disease_betweenness	gene_diversity	gene_diversity_shannon	gene_betweenness
Glioblastoma	170.68936997957252	5.880597126979185	0.006527232358871673	122.38637324707211	4.680719867904045	0.001568792451786817
Glioma	141.53924499137963	5.942820920191076	0.009275402816255428	570.5724945171072	5.402693331608264	0.03812039695684818
Hydrocephalus	177.26689023777573	5.674064005982124	0.0032326745537026758	42.11288184966387	3.689669563841909	0.00018695926337220176
Schizophrenia	151.97661083438948	5.19068742745013	0.002232002181178599	69.90515545409734	4.228987054185057	0.0009827578442282764
Epilepsy	187.45300546266273	5.726589274191055	0.005780527514452426	198.3575966304871	4.9194900950544	0.0016883265901401448
Medulloblastoma	164.33831937979954	5.836288823750277	0.00437440703069265	265.08454127156637	5.402693331608264	0.006647042586268035
Hyperhomocysteinemia	182.7628000619475	5.659736011906228	0.001320642460688507	42.76776418823187	3.621823241620999	0.0001616192424876887
Meningioma	176.67122369187166	5.529577036504258	0.0011112531926859516	204.05721791306752	5.067642545119686	0.003308132170761624
Paraganglioma	142.67637484959727	5.1800299173595805	0.0003464661567330598	131.27793765829946	4.847549551954368	0.0009898418676482972
Pancytopenia	113.52229662558312	4.821018712793195	3.49347153207567e-05	5.0	1.6094379124341005	2.896290259798706e-06
Rhabdomyosarcoma	177.1905005573182	5.664619262989098	0.0008826034862626878	570.5724945171072	5.402693331608264	0.04445655517490387
Mesothelioma	154.06570565102425	5.741855169210314	0.0019313801432015627	479.3423372812464	5.381503254584336	0.04445655517490387
Splenomegaly	152.92858254379541	5.595693655465969	0.0024570912405926025	66.90661604670447	4.096111988546003	0.00014718039213352827
Sarcoma	135.91728999707266	5.841936126369067	0.0025472090752603396	479.3423372812464	5.381503254584336	0.04445655517490387
Cryptorchidism	168.15711024066482	5.780737931292685	0.004109143339596567	189.12609013608085	5.0098003859134055	0.0020221538375994655
Pheochromocytoma	147.73194922499198	5.8111689234857815	0.002649904065596247	189.64316054642012	4.980514808869435	0.0030887450351757494
Thromboembolism	147.9351969368213	5.8104532561429165	0.0026830383327783973	20.25669655041495	3.0445224377234217	3.411753700429213e-05
Idiopathic Pulmonary Fibrosis	132.6621547531549	5.247064796951023	0.00019973204305045157	32.28247278159292	3.583518938456111	7.193500726431545e-05
Tetralogy of Fallot	66.80498057130033	4.285300829851644	2.5358226980638078e-05	121.39802598640028	4.653171090161795	0.0007896317411142902
Chondrosarcoma	149.651000987195	5.256020149165608	0.0006784364472636417	26.040494897846862	3.1224245983330623	4.704960009179304e-05
Hypocalcemia	34.82761699489564	3.6011047291705998	2.930947887302857e-06	16.39749497910916	2.588573162682118	6.091883789393982e-06
Hypoparathyroidism	72.52518503828263	4.361117397755438	4.433303789404942e-05	28.66937537558466	3.2625679455501655	4.037465013300348e-05
Agammaglobulinemia	165.77479015641194	5.568178962101637	0.0009388669011729865	24.590266096170794	3.2580965380214835	5.79429681051199e-06
Rhabdomyolysis	168.95959695986272	5.6544759501367485	0.0011357118071975815	108.89206957356969	4.644978408155005	0.0004163489703084339
Thalassemia	170.1257771486958	5.384214767914965	0.0004280076576629643	25.084450661183208	3.2047775241322567	3.223037452171199e-05
Cholestasis	99.30613786338247	4.80938751241254	9.835784107378383e-05	57.60715524552561	3.9095053140727827	4.4354903033512275e-05
Angioedema	133.62055332372282	5.169052159415592	0.0005983933401688189	27.44375550439123	3.282693997278065	3.556734457947687e-05
Hypercholesterolemia	152.37604689258808	5.696882465460664	0.0017187925690783483	127.11197937265929	4.433599202514652	0.0021165083455079283
Osteopetrosis	151.07606964073793	5.288353445418431	0.00028448094718171613	26.221973542218123	3.2958368660043296	3.906267631727963e-05
Glaucoma	83.85820792514312	4.699477496744786	0.001752061182255034	175.64269039766265	4.913819656959511	0.0019878861513804888
Oligospermia	145.0874579410075	5.14896797229587	0.0001709764359966464	10.921841378567127	2.3978952727983707	1.2649898276882587e-05
Retinoblastoma	164.06670603495897	5.490051170068488	0.001166373915937105	116.59733749415892	4.646371857813704	0.0005990614349294878
Achondroplasia	169.18321989024727	5.469551974721826	0.0005559974048080053	99.67029760437072	4.383859568382992	0.0006710813223225777
Blindness	62.613816622026576	4.318626557595158	3.23400068006379e-05	56.79629523280951	4.01533645269671	0.00021739128381383752
Ophthalmoplegia	48.44622354681598	3.970088406722981	1.9806246384873946e-05	104.67008320151345	4.695948346467607	0.0005659102531925198
Hemangioma	170.04889542790673	5.527967998975804	0.0010752856203309253	239.86363506854616	5.121051175962185	0.003206425758169046
Arachnodactyly	28.616948978157303	3.4339872044851467	1.328280694151071e-06	12.752514402890343	2.5649493574615376	7.031519805956351e-06
Hamartoma	167.4238055822486	5.346316066434587	0.00038072515341686835	99.67029760437072	4.383859568382992	0.0007994420927209138
Choroideremia	75.38743543331539	4.477704793897848	1.946523673688699e-05	11.767939909000848	2.4849066497880012	6.633085755189371e-06
Amenorrhea	157.9601037750051	5.530540239986973	0.0008613448961341944	11.909720463844165	2.4849066497880012	1.0130594701263125e-05
Myopia	110.19685331906047	4.972548037997075	0.0005200412812419899	77.73859122507186	4.245512996291011	0.0002613683943115173
Amblyopia	7.7217470813111255	2.0794415416798357	4.627347019329123e-08	13.074019004971268	2.6390573296152584	1.2057548937792413e-05
Myoclonus	52.121725903840115	3.9041932291327717	4.186079421244044e-05	98.21799464423047	4.436847333507888	0.0006039374251261515
Homocystinuria	96.16323835174013	4.70226417051869	0.00011701334780062272	42.76776418823187	3.621823241620999	0.0001616192424876887
Neuroblastoma	188.31779208028905	5.659028828767347	0.001672795399973518	570.5724945171072	5.381503254584336	0.04445655517490387
Macrocephaly	111.73753555231991	4.981151781237529	0.00011268904731137383	239.86363506854616	5.121051175962185	0.003206425758169046
Ichthyosis	122.64968292235523	5.14896797229587	0.0007814915595111331	26.076532610475212	3.2444926304072967	7.852584569226365e-05
Pseudohypoaldosteronism	30.75939114787483	3.628015636870158	9.883851341899612e-05	18.499929930023868	2.9264175554979963	8.402244265999178e-05
Tremor	39.19611047628351	3.7911563523007006	0.0012592400557289625	48.77144399459903	3.891822421413258	0.0002222631145860508
Pseudopseudohypoparathyroidism	117.53067186249667	4.94363598127069	0.0003275518994499185	85.16155791078823	4.431628438624508	0.0003067137113164756
Lissencephaly	144.42353831561678	5.405222250744016	0.0008568479577334314	189.12609013608085	5.033029249822799	0.0024161161275608974
Hyperammonemia	56.11506755385519	4.131732058784253	0.00029234407291198157	54.653479643808694	3.9482576932876836	1.3911872706851998e-05
Hypertelorism	136.4195012295223	5.398213102852409	0.0016678530634172755	303.1027780125695	5.058255151091169	0.002950863674944334
Pseudohypoparathyroidism	112.11365648437933	4.9071107485140155	0.0003064062938058857	85.16155791078823	4.431628438624508	0.0003067137113164756
Syndactyly	138.97098736563203	5.358733070501291	0.0006558756919063341	2.947044334975369	1.0986122886681096	7.213598242052903e-08
Hypogonadism	141.0841664985543	5.183395867147288	0.0011735896475383897	10.869834083574007	2.3978952727983707	2.117988490043353e-06
Polydactyly	143.7940818884738	5.410068733205027	0.0015549456973574139	119.49249884673364	4.502018836182183	0.0014921510247081196
Trichotillomania	24.65634876495366	3.2580965380214835	2.0519799287856e-06	2.0	0.6931471805599453	1.8450611957767706e-07
Hypospadias	153.2830775953294	5.484012203285656	0.0010700575179323827	85.8711606660603	4.406713718092581	0.0007694758670688175
Aspartylglucosaminuria	23.915300197320963	3.2047775241322567	2.375660082902274e-06	19.071184006562966	2.995732273553991	1.9237180152712073e-05
Clubfoot	107.2436289008908	4.817234536914884	0.0001272786065887918	36.08043516329958	3.5079609900208193	0.00033417363689530207
Arthrogryposis	152.39713410855188	5.452920774659934	0.0011840395956363454	71.67840560194928	4.285300829851644	0.0005834226174271692
Kyphosis	114.89496313591793	4.9036455290188865	0.00012189112283078149	44.49937969231373	3.820651977005379	0.00019959055393737907
Hyperostosis	48.35785813209631	3.9245842116368164	5.82627422068233e-06	10.647573111018223	2.4849066497880012	4.122640080794654e-06
Sepsis	150.9147787052849	5.808025644477015	0.0025207005481212735	83.66353565951816	4.301317495724675	0.00034369183734565405
Hypophosphatemia	96.05006247143399	4.691081916278788	7.880820616349007e-05	4.9723293699821625	1.6094379124341005	1.840424666862334e-07
