node_id	label	community	degree	strength
Diabetes Mellitus	Diabetes Mellitus	0	24	21.941905636788217
Hyperlipidemias	Hyperlipidemias	0	23	20.792516233878185
Metabolic Diseases	Metabolic Diseases	0	21	18.828160598842164
Insulin Resistance	Insulin Resistance	0	20	18.819408831778563
Metabolic Syndrome X	Metabolic Syndrome X	0	20	18.81442328993017
Hypertriglyceridemia	Hypertriglyceridemia	0	20	18.622101113653056
Nephrotic Syndrome	Nephrotic Syndrome	0	21	18.438054796785643
Obesity	Obesity	0	19	17.943819473724705
Kidney Diseases	Kidney Diseases	0	23	17.82570748769928
Glomerulonephritis	Glomerulonephritis	0	20	17.72860976727524
Dyslipidemias	Dyslipidemias	0	19	17.250138713780544
Endometrial Neoplasms	Endometrial Neoplasms	0	19	17.015398974832664
Hyperlipoproteinemias	Hyperlipoproteinemias	0	19	17.00268430112598
Glucose Intolerance	Glucose Intolerance	0	18	16.427316058766763
Hyperinsulinism	Hyperinsulinism	0	17	15.94616536232936
Hyperglycemia	Hyperglycemia	0	18	15.37155003286246
Hypoalphalipoproteinemias	Hypoalphalipoproteinemias	0	16	14.902431487798543
Fatty Liver	Fatty Liver	0	16	14.848383333138736
Glomerulosclerosis, Focal Segmental	Glomerulosclerosis, Focal Segmental	0	17	14.553471678639283
Renal Insufficiency	Renal Insufficiency	0	17	13.691371759395496
Proteinuria	Proteinuria	0	15	13.003878135850039
Bardet-Biedl Syndrome	Bardet-Biedl Syndrome	0	14	12.51570579287944
Endometrial Hyperplasia	Endometrial Hyperplasia	0	13	11.529877164796568
Amyloidosis	Amyloidosis	0	15	11.498653148214933
Hyperlipidemia, Familial Combined	Hyperlipidemia, Familial Combined	0	12	11.460932190151706
Lipid Metabolism Disorders	Lipid Metabolism Disorders	0	12	10.415268181943535
Lupus Erythematosus, Systemic	Lupus Erythematosus, Systemic	0	15	10.30921055135062
Glomerulonephritis, Membranoproliferative	Glomerulonephritis, Membranoproliferative	0	12	10.30363095384653
Kidney Failure, Chronic	Kidney Failure, Chronic	0	12	9.874426458037362
Hypercholesterolemia	Hypercholesterolemia	0	12	9.805062651053413
Immune Complex Diseases	Immune Complex Diseases	0	11	9.60749257151268
Gout	Gout	0	11	9.466139474610348
Diabetes Mellitus, Type 1	Diabetes Mellitus, Type 1	0	10	8.269965877058238
Nephritis, Interstitial	Nephritis, Interstitial	0	10	8.21106204833773
Hypothalamic Diseases	Hypothalamic Diseases	0	10	8.155999323505057
Alopecia	Alopecia	0	10	7.863725058026694
Cushing Syndrome	Cushing Syndrome	0	9	7.3789513332788
Nephrosis	Nephrosis	0	8	7.151908879767179
Anemia, Macrocytic	Anemia, Macrocytic	0	9	6.872824214786458
Hematuria	Hematuria	0	8	6.767459686650015
Hypertension	Hypertension	0	8	6.7382350632880375
Hypertension, Renal	Hypertension, Renal	0	8	6.551552986260367
Diabetic Angiopathies	Diabetic Angiopathies	0	8	6.490860557816117
Polycystic Kidney Diseases	Polycystic Kidney Diseases	0	9	6.476402546906028
Lecithin Acyltransferase Deficiency	Lecithin Acyltransferase Deficiency	0	7	6.053105910324729
Diabetes Mellitus, Type 2	Diabetes Mellitus, Type 2	0	7	6.025072290671828
Glomerulonephritis, IGA	Glomerulonephritis, IGA	0	6	5.290868960862786
Diabetic Nephropathies	Diabetic Nephropathies	0	6	5.061608920434443
Acanthosis Nigricans	Acanthosis Nigricans	0	6	4.832035733424805
Pre-Eclampsia	Pre-Eclampsia	0	6	4.4737066149147235
Hypertrophy, Left Ventricular	Hypertrophy, Left Ventricular	0	5	4.273114796170881
Amenorrhea	Amenorrhea	0	6	4.226441073967685
Polycystic Kidney, Autosomal Dominant	Polycystic Kidney, Autosomal Dominant	0	5	4.099118890815964
Hypertension, Pregnancy-Induced	Hypertension, Pregnancy-Induced	0	5	3.9478150629446596
Anemia, Megaloblastic	Anemia, Megaloblastic	0	5	3.67447461715777
Lupus Nephritis	Lupus Nephritis	0	4	3.573194227349482
Acne Vulgaris	Acne Vulgaris	0	4	3.3542690033333846
Fanconi Syndrome	Fanconi Syndrome	0	4	3.315342158412393
Polycystic Ovary Syndrome	Polycystic Ovary Syndrome	0	4	3.245796983408659
Adrenocortical Hyperfunction	Adrenocortical Hyperfunction	0	4	3.205521274922985
Hyperuricemia	Hyperuricemia	0	3	2.7364700783126628
Lipodystrophy	Lipodystrophy	0	3	2.330220780363864
Hyperprolactinemia	Hyperprolactinemia	0	3	2.2120051064504813
Diabetic Retinopathy	Diabetic Retinopathy	0	3	2.163134748964479
Hyperlipoproteinemia Type IV	Hyperlipoproteinemia Type IV	0	2	1.818040690648302
Dermatitis, Seborrheic	Dermatitis, Seborrheic	0	2	1.7622928717407031
Pituitary ACTH Hypersecretion	Pituitary ACTH Hypersecretion	0	2	1.6937291280901954
Kidney Diseases, Cystic	Kidney Diseases, Cystic	0	2	1.2124578691327628
Urinary Calculi	Urinary Calculi	0	2	1.141848845650573
Kidney Calculi	Kidney Calculi	0	2	1.1159964508627418
Albuminuria	Albuminuria	0	1	0.9749552488681807
Hirsutism	Hirsutism	0	1	0.9147609402407784
Prader-Willi Syndrome	Prader-Willi Syndrome	0	1	0.8050530897607081
Denys-Drash Syndrome	Denys-Drash Syndrome	0	1	0.7906011030501912
Hair Diseases	Hair Diseases	0	1	0.748759920465095
Oculocerebrorenal Syndrome	Oculocerebrorenal Syndrome	0	1	0.7377174320528067
Lipodystrophy, Familial Partial	Lipodystrophy, Familial Partial	0	1	0.6853960671546354
Urolithiasis	Urolithiasis	0	1	0.6334984906195741
Nephritis	Nephritis	0	1	0.5332588306706618
Ureteral Diseases	Ureteral Diseases	0	1	0.4113911195890052
Lung Diseases	Lung Diseases	1	13	9.240945327940096
Pulmonary Disease, Chronic Obstructive	Pulmonary Disease, Chronic Obstructive	1	11	9.061301848844915
Pulmonary Fibrosis	Pulmonary Fibrosis	1	10	8.442045383850855
Mesothelioma	Mesothelioma	1	10	7.62824788258556
Hypertension, Pulmonary	Hypertension, Pulmonary	1	9	7.399762087275412
Reperfusion Injury	Reperfusion Injury	1	9	6.9962938280763725
Idiopathic Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis	1	8	6.968246780747231
Heart Defects, Congenital	Heart Defects, Congenital	1	9	6.670156943613336
Respiratory Distress Syndrome, Adult	Respiratory Distress Syndrome, Adult	1	8	6.191530349892192
Pulmonary Embolism	Pulmonary Embolism	1	8	6.189244107805321
Lung Neoplasms	Lung Neoplasms	1	9	6.028389842515843
Lung Diseases, Interstitial	Lung Diseases, Interstitial	1	7	5.887324032729842
Pulmonary Emphysema	Pulmonary Emphysema	1	7	5.761372654619152
Hemangiosarcoma	Hemangiosarcoma	1	8	5.739733770957811
Polycythemia	Polycythemia	1	6	5.273081365072515
Pulmonary Alveolar Proteinosis	Pulmonary Alveolar Proteinosis	1	6	5.178356260705464
Lung Diseases, Obstructive	Lung Diseases, Obstructive	1	6	5.13239886476378
Neovascularization, Pathologic	Neovascularization, Pathologic	1	6	4.939099237865061
Respiratory Insufficiency	Respiratory Insufficiency	1	6	4.824920943833748
Lymphangioleiomyomatosis	Lymphangioleiomyomatosis	1	6	4.746222313957366
Mitral Valve Prolapse	Mitral Valve Prolapse	1	6	4.581198973885681
Heart Septal Defects, Atrial	Heart Septal Defects, Atrial	1	6	4.339554093710633
Emphysema	Emphysema	1	5	3.925979463709453
Heart Septal Defects	Heart Septal Defects	1	5	3.773692131072236
Bronchiectasis	Bronchiectasis	1	5	3.6883353360634086
Aneurysm, Dissecting	Aneurysm, Dissecting	1	5	3.415231785269361
Acidosis	Acidosis	1	4	3.0470932786275458
Pleural Diseases	Pleural Diseases	1	4	3.0368548750428586
Pulmonary Veno-Occlusive Disease	Pulmonary Veno-Occlusive Disease	1	4	3.017095112868438
Persistent Fetal Circulation Syndrome	Persistent Fetal Circulation Syndrome	1	4	3.0095496586278623
Cystic Fibrosis	Cystic Fibrosis	1	4	2.9205700128158085
Ductus Arteriosus, Patent	Ductus Arteriosus, Patent	1	4	2.8149077207701225
Myocardial Reperfusion Injury	Myocardial Reperfusion Injury	1	3	2.747380402662546
Behcet Syndrome	Behcet Syndrome	1	4	2.6486011194840193
Tetralogy of Fallot	Tetralogy of Fallot	1	3	2.6462188882503215
Pulmonary Valve Stenosis	Pulmonary Valve Stenosis	1	3	2.281328745060296
Aortic Aneurysm, Thoracic	Aortic Aneurysm, Thoracic	1	3	2.1699865606857567
Pneumonia	Pneumonia	1	3	2.0478683038539893
Acidosis, Lactic	Acidosis, Lactic	1	3	2.045820211938177
Transposition of Great Vessels	Transposition of Great Vessels	1	2	1.9423094786238613
Raynaud Disease	Raynaud Disease	1	3	1.7595393519907445
